"date","time","period","s1a","s1x","s1i","s1s","s2a","s2x","s2i","s2s","s3a","s3x","s3i","s3s","d1a","d1s","d2a","d2s","h1a","h1x","h1i","t1a","t1x","t1i","b1a","b1x","b1i","p1a","p1x","p1i","p1s","tia","tix","tii","vxa","vxx","vxi","bla","blx","bli","bra","brx","bri"
2013-03-07,00:10:00,600,13.26578,15.59750,11.37470, 0.72981,13.12249,15.41290,11.32780, 0.71145,11.99783,14.07574, 9.67222, 0.79814,8,3,10,6,86,87,86, 2.45, 2.45, 2.45,1021,1022,1021, 9.99864,12.88260, 7.24305, 1.00870,40,41,40,126,126,126,83,83,83,83,83,83
2013-03-07,00:20:00,600,13.12349,15.32210,11.32880, 0.77571,12.96643,15.04570,10.96060, 0.78030,11.86939,14.02987, 9.35113, 0.83942,8,3,9,6,86,86,86, 2.45, 2.45, 2.45,1021,1022,1021,10.11785,12.69920, 6.96795, 0.93076,41,41,41,126,126,126,83,83,83,83,83,83
2013-03-07,00:30:00,600,13.13267,15.45980,10.82390, 0.92259,13.00774,15.55060,10.82290, 0.92259,11.83270,14.71792, 9.12178, 0.91740,7,3,8,7,86,87,86, 2.45, 2.55, 2.45,1021,1021,1021, 9.66852,12.97430, 6.23435, 1.00412,41,41,41,126,126,126,83,83,83,83,83,83
2013-03-07,00:40:00,600,13.21070,15.82700,10.77800, 0.79866,13.09036,15.78010,10.31800, 0.80784,11.87398,14.12161, 8.57134, 0.96327,7,4,7,6,86,86,86, 2.45, 2.55, 2.45,1021,1021,1021,10.05824,14.02885, 6.64700, 1.18293,41,41,41,126,126,126,83,83,83,83,83,83
2013-03-07,00:50:00,600,13.36676,15.64340,11.09930, 0.86751,13.23265,15.41290,11.28190, 0.86751,11.98866,14.71792, 9.21352, 0.88070,7,6,8,7,86,86,86, 2.55, 2.55, 2.45,1021,1021,1020,10.26457,12.74505, 7.19720, 0.99953,41,41,41,126,126,126,83,83,83,83,83,83
2013-03-07,01:00:00,600,13.42643,16.19420,10.08950, 1.06029,13.31527,16.19320,10.13440, 1.06488,12.33268,16.27750, 9.76396, 0.99538,8,5,10,6,86,86,85, 2.55, 2.65, 2.55,1021,1021,1020,10.32876,14.34980, 7.74740, 1.04080,41,41,41,126,126,125,83,83,83,83,83,83
2013-03-07,01:10:00,600,13.02251,15.18440,10.31900, 0.81702,12.87463,15.27520,10.13440, 0.83997,11.75472,14.25922, 9.21352, 0.88529,8,4,10,5,85,86,85, 2.55, 2.65, 2.55,1021,1021,1020, 9.84275,12.37825, 6.73870, 1.07748,41,41,41,126,126,125,83,83,83,83,83,83
2013-03-07,01:20:00,600,12.73793,15.41390,10.08950, 0.84915,12.59005,15.32110, 9.81310, 0.83538,11.61252,14.30509, 8.84656, 0.90364,10,4,12,5,85,86,85, 2.55, 2.65, 2.55,1020,1021,1020, 9.91611,13.02015, 6.69285, 1.00870,41,41,41,125,126,125,83,83,83,83,83,83
2013-03-07,01:30:00,600,12.74711,15.23030,10.04360, 0.95013,12.59923,15.04570,10.13440, 0.95472,11.41528,14.67205, 8.70895, 1.08253,11,4,13,5,85,86,85, 2.55, 2.65, 2.55,1020,1021,1020, 9.81065,12.97430, 7.05965, 1.13250,41,41,41,125,126,125,83,83,83,83,83,83
2013-03-07,01:40:00,600,12.39827,15.09260,10.41080, 0.78489,12.26875,15.09160,10.31800, 0.78489,11.22721,13.57117, 8.84656, 0.86236,10,4,12,5,86,86,85, 2.55, 2.65, 2.55,1020,1021,1020, 9.59057,12.05730, 6.87625, 0.90325,41,41,41,125,126,125,83,83,83,83,83,83
