"date","time","period","s1a","s1x","s1i","s1s","s2a","s2x","s2i","s2s","s3a","s3x","s3i","s3s","d1a","d1s","d2a","d2s","h1a","h1x","h1i","t1a","t1x","t1i","b1a","b1x","b1i","p1a","p1x","p1i","p1s","tia","tix","tii","vxa","vxx","vxi","bla","blx","bli","bra","brx","bri"
2013-03-02,00:10:00,600, 6.30275, 7.38140, 4.94870, 0.33048, 6.28339, 7.28860, 4.99360, 0.32589, 5.65401, 6.55306, 4.48891, 0.37155,119,5,98,5,78,80,75, 3.05, 3.25, 2.75,1009,1010,1009, 4.94597, 6.05095, 3.98770, 0.36222,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,00:20:00,600, 5.83916, 6.69290, 4.94870, 0.33966, 5.83816, 6.60010, 4.94770, 0.35802, 5.38338, 6.14023, 4.44304, 0.31650,121,4,95,4,78,80,76, 3.15, 3.45, 2.95,1009,1010,1009, 4.45995, 5.59245, 3.71260, 0.31637,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,00:30:00,600, 5.36639, 5.68310, 4.99460, 0.12393, 5.36998, 5.72800, 4.94770, 0.13770, 5.35127, 5.86501, 4.76413, 0.24311,121,5,94,4,79,81,77, 3.05, 3.45, 2.95,1009,1009,1009, 4.45537, 4.90470, 4.03355, 0.18340,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,00:40:00,600, 5.76113, 6.32570, 5.22410, 0.33048, 5.71882, 6.27880, 5.22310, 0.31212, 5.49805, 5.77327, 5.17696, 0.12385,122,2,97,2,80,81,79, 3.55, 3.75, 3.45,1009,1009,1009, 4.62502, 4.95055, 4.21695, 0.14672,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,00:50:00,600, 5.60048, 6.23390, 5.17820, 0.19737, 5.55358, 6.18700, 5.08540, 0.19737, 5.42924, 5.68153, 5.13109, 0.09174,121,1,96,2,79,79,78, 3.75, 3.75, 3.65,1009,1009,1009, 4.57000, 4.99640, 3.71260, 0.20174,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,01:00:00,600, 5.78408, 6.18800, 5.31590, 0.15147, 5.72800, 6.14110, 5.22310, 0.15606, 5.45218, 5.91088, 4.99348, 0.19265,123,1,99,3,79,80,79, 3.75, 3.75, 3.65,1009,1009,1009, 4.24446, 4.76715, 3.48335, 0.28886,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,01:10:00,600, 5.94932, 6.32570, 5.49950, 0.16524, 5.91160, 6.27880, 5.45260, 0.14688, 5.25035, 5.54392, 4.90174, 0.11009,128,2,98,3,78,79,77, 3.75, 3.75, 3.75,1009,1009,1009, 3.78138, 4.30865, 3.25410, 0.19716,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,01:20:00,600, 5.57294, 5.91260, 5.13230, 0.18819, 5.53522, 5.91160, 5.08540, 0.19278, 4.90633, 5.36044, 4.62652, 0.16972,126,2,92,3,77,78,77, 3.75, 3.75, 3.55,1009,1009,1009, 3.56130, 4.03355, 2.97900, 0.17423,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,01:30:00,600, 5.36639, 5.68310, 5.04050, 0.11475, 5.31949, 5.63620, 5.03950, 0.11475, 4.99807, 5.36044, 4.62652, 0.14678,123,1,98,2,79,80,78, 3.55, 3.65, 3.45,1009,1009,1009, 3.94644, 4.35450, 3.48335, 0.15131,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,01:40:00,600, 5.15525, 5.40770, 4.85690, 0.09639, 5.13589, 5.36080, 4.71820, 0.10557, 4.70909, 5.22283, 4.39717, 0.15596,123,2,99,3,79,80,79, 3.75, 3.75, 3.65,1009,1009,1009, 3.65758, 4.21695, 3.16240, 0.20633,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,01:50:00,600, 4.91657, 5.17820, 4.67330, 0.11475, 4.91098, 5.22310, 4.62640, 0.12393, 4.70909, 5.13109, 4.39717, 0.12844,113,4,88,2,79,81,77, 3.35, 3.75, 3.05,1009,1009,1009, 3.68509, 4.07940, 3.20825, 0.17882,42,42,42,126,126,126,83,83,83,83,83,83
2013-03-02,02:00:00,600, 5.08181, 5.49950, 4.76510, 0.15606, 5.13130, 5.45260, 4.81000, 0.13770, 4.69991, 4.94761, 4.44304, 0.10091,109,2,87,2,78,80,77, 2.85, 3.05, 2.65,1009,1009,1009, 3.96019, 4.30865, 3.71260, 0.09629,42,42,42,126,126,125,83,83,83,83,83,83
2013-03-02,02:10:00,600, 4.92575, 5.22410, 4.53560, 0.12393, 4.95229, 5.31490, 4.62640, 0.11475, 4.39258, 4.62652, 4.12195, 0.11009,108,4,83,2,79,80,77, 2.95, 3.05, 2.65,1009,1009,1009, 3.74011, 4.12525, 3.34580, 0.16506,42,42,42,126,126,125,83,83,83,83,83,83
2013-03-02,02:20:00,600, 4.96247, 5.27000, 4.62740, 0.15147, 4.91098, 5.22310, 4.58050, 0.15147, 4.32836, 4.53478, 4.16782, 0.06881,100,3,78,2,79,80,77, 2.35, 2.65, 2.25,1009,1009,1009, 3.75387, 4.07940, 3.20825, 0.13297,42,42,41,125,126,125,83,83,83,83,83,83
2013-03-02,02:30:00,600, 5.04968, 5.36180, 4.71920, 0.12852, 5.01196, 5.31490, 4.71820, 0.11934, 4.38341, 4.76413, 4.07608, 0.15137,101,2,78,2,79,80,79, 2.15, 2.25, 2.15,1009,1009,1009, 3.96019, 4.40035, 3.39165, 0.22467,41,41,41,125,126,125,83,83,83,83,83,83
2013-03-02,02:40:00,600, 5.20115, 5.49950, 4.85690, 0.11016, 5.20933, 5.49850, 4.90180, 0.11016, 4.79165, 5.03935, 4.53478, 0.08715,106,2,84,1,79,81,78, 2.35, 2.45, 2.15,1009,1009,1009, 4.18027, 4.44620, 3.80430, 0.12380,41,41,41,125,126,125,83,83,83,83,83,83
2013-03-02,02:50:00,600, 5.00378, 5.31590, 4.76510, 0.09639, 4.97983, 5.26900, 4.71820, 0.09180, 4.61276, 4.90174, 4.30543, 0.08715,108,2,83,2,80,81,79, 2.15, 2.25, 2.15,1009,1009,1009, 4.02438, 4.26280, 3.80430, 0.09170,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,03:00:00,600, 4.83854, 5.08640, 4.58150, 0.09180, 4.81459, 5.03950, 4.58050, 0.09180, 4.37882, 4.67239, 4.16782, 0.09633,105,3,79,3,80,81,80, 2.25, 2.35, 2.05,1009,1009,1009, 3.77221, 4.03355, 3.29995, 0.10087,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,03:10:00,600, 5.23328, 5.68310, 4.81100, 0.17901, 5.14966, 5.63620, 4.76410, 0.17442, 4.43845, 4.76413, 4.03021, 0.11009,110,2,78,3,81,82,79, 2.45, 2.65, 2.15,1009,1009,1009, 3.74470, 4.03355, 3.29995, 0.11921,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,03:20:00,600, 4.96247, 5.49950, 4.44380, 0.17901, 4.90639, 5.54440, 4.44280, 0.17901, 4.20452, 4.62652, 3.57151, 0.16513,112,3,82,4,80,80,79, 2.55, 2.65, 2.45,1009,1009,1009, 3.48335, 3.94185, 3.02485, 0.17882,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,03:30:00,600, 5.30213, 5.72900, 4.62740, 0.19278, 5.22310, 5.72800, 4.44280, 0.19737, 4.22745, 4.48891, 3.75499, 0.10550,118,3,84,3,81,81,80, 2.65, 2.95, 2.45,1009,1009,1009, 3.53379, 3.85015, 3.16240, 0.11921,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,03:40:00,600, 4.39790, 5.36180, 3.89300, 0.40392, 4.33723, 5.17720, 3.84610, 0.38556, 3.86508, 4.16782, 3.57151, 0.11468,104,5,69,5,79,80,79, 2.75, 2.95, 2.45,1009,1009,1008, 3.56130, 3.80430, 3.25410, 0.09170,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,03:50:00,600, 4.30610, 4.71920, 3.70940, 0.16524, 4.27297, 4.76410, 3.75430, 0.16524, 3.86508, 4.25956, 3.52564, 0.14678,99,3,67,3,81,81,80, 2.45, 2.45, 2.45,1009,1009,1008, 3.71260, 3.98770, 3.43750, 0.11921,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,04:00:00,600, 4.39790, 4.76510, 3.89300, 0.14229, 4.36936, 4.76410, 3.93790, 0.15147, 3.94764, 4.48891, 3.43390, 0.17889,106,4,80,4,81,81,81, 2.55, 2.55, 2.45,1009,1009,1008, 3.58881, 4.07940, 2.97900, 0.18799,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,04:10:00,600, 4.09037, 4.67330, 3.52580, 0.19737, 4.07560, 4.48870, 3.52480, 0.18360, 3.61279, 4.21369, 3.02107, 0.22476,106,4,75,6,81,81,80, 2.55, 2.55, 2.45,1009,1009,1008, 3.27244, 3.80430, 2.61220, 0.19716,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,04:20:00,600, 4.12250, 4.58150, 3.47990, 0.17901, 4.11232, 4.58050, 3.43300, 0.17442, 3.75499, 4.21369, 3.25042, 0.17431,107,5,79,5,81,81,81, 2.45, 2.55, 2.45,1009,1009,1008, 3.35497, 3.89600, 2.56635, 0.17882,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,04:30:00,600, 4.09496, 4.39790, 3.84710, 0.10557, 4.04806, 4.30510, 3.75430, 0.11934, 3.68618, 3.98434, 3.43390, 0.10091,114,2,82,4,81,81,80, 2.55, 2.65, 2.45,1009,1009,1008, 3.40541, 3.71260, 3.07070, 0.11004,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,04:40:00,600, 4.18217, 4.58150, 3.61760, 0.12852, 4.13986, 4.44280, 3.75430, 0.11016, 3.76416, 4.03021, 3.34216, 0.11009,118,2,86,5,81,81,80, 2.55, 2.65, 2.55,1009,1009,1008, 3.24035, 3.43750, 3.07070, 0.06419,41,41,41,125,125,125,83,83,83,83,83,83
2013-03-02,04:50:00,600, 4.14086, 4.53560, 3.89300, 0.13311, 4.08937, 4.44280, 3.84610, 0.11016, 3.61279, 3.80086, 3.38803, 0.06881,116,2,86,2,80,81,80, 2.65, 2.75, 2.65,1009,1009,1008, 3.11655, 3.34580, 2.88730, 0.09170,41,41,41,125,126,125,83,83,83,83,83,83
2013-03-02,05:00:00,600, 4.43462, 4.81100, 3.89300, 0.24786, 4.40608, 4.85590, 3.89200, 0.26163, 4.01186, 4.58065, 3.43390, 0.28898,111,1,91,4,81,81,80, 2.55, 2.65, 2.55,1009,1009,1009, 3.57047, 3.94185, 3.07070, 0.22008,41,41,41,126,126,125,83,83,83,83,83,83
2013-03-02,05:10:00,600, 5.11394, 5.36180, 4.67330, 0.11934, 5.09917, 5.36080, 4.76410, 0.11475, 4.63111, 4.85587, 4.30543, 0.10091,111,1,96,2,81,82,81, 2.55, 2.65, 2.55,1009,1009,1009, 4.03814, 4.26280, 3.75845, 0.08712,41,41,41,126,127,126,83,83,83,83,83,83
2013-03-02,05:20:00,600, 5.50868, 5.86670, 5.17820, 0.14688, 5.48473, 5.86570, 5.17720, 0.14688, 4.94302, 5.36044, 4.58065, 0.19724,112,1,98,2,82,83,82, 2.65, 2.65, 2.55,1009,1009,1009, 4.28573, 4.62960, 3.85015, 0.12380,41,41,41,128,128,127,83,83,83,83,83,83
2013-03-02,05:30:00,600, 5.80244, 6.18800, 5.40770, 0.13311, 5.78308, 6.09520, 5.40670, 0.13770, 5.37879, 5.68153, 4.99348, 0.10550,119,3,99,3,83,83,82, 2.65, 2.75, 2.55,1009,1010,1009, 4.28114, 4.85885, 3.20825, 0.27052,41,42,41,129,130,128,83,83,83,83,83,83
2013-03-02,05:40:00,600, 5.20115, 5.68310, 4.81100, 0.15606, 5.16343, 5.63620, 4.53460, 0.16983, 4.56230, 5.31457, 3.80086, 0.33485,116,4,89,6,82,82,81, 2.65, 2.75, 2.55,1009,1010,1009, 3.49252, 4.35450, 2.47465, 0.35763,42,42,42,130,131,130,83,83,83,83,83,83
2013-03-02,05:50:00,600, 5.11394, 5.86670, 4.16840, 0.23409, 5.07163, 5.72800, 4.35100, 0.22950, 4.34213, 5.17696, 3.43390, 0.29816,115,4,90,7,82,83,82, 2.35, 2.55, 2.25,1009,1010,1009, 3.44209, 4.49205, 2.79560, 0.29803,42,42,42,131,132,130,83,83,83,83,83,83
2013-03-02,06:00:00,600, 5.00378, 5.91260, 3.52580, 0.43605, 4.94770, 5.81980, 3.61660, 0.42687, 4.14947, 5.03935, 3.34216, 0.37155,116,6,93,7,83,84,82, 2.15, 2.25, 2.05,1010,1010,1009, 3.28620, 4.21695, 2.33710, 0.34388,42,42,42,133,133,132,83,83,83,83,83,83
2013-03-02,06:10:00,600, 5.20574, 6.05030, 3.89300, 0.38097, 5.14507, 6.04930, 3.93790, 0.39015, 4.50726, 5.54392, 3.15868, 0.46787,124,4,106,8,84,84,83, 2.15, 2.15, 2.15,1010,1010,1009, 3.45584, 4.58375, 2.47465, 0.47226,42,42,42,133,134,133,83,83,83,83,83,83
2013-03-02,06:20:00,600, 5.29295, 5.77490, 4.26020, 0.24327, 5.24605, 5.68210, 4.21330, 0.24327, 4.61735, 5.31457, 3.38803, 0.30733,125,2,115,6,83,84,83, 2.25, 2.25, 2.15,1010,1010,1009, 3.81347, 4.58375, 2.93315, 0.32554,42,42,42,134,135,134,83,83,83,83,83,83
2013-03-02,06:30:00,600, 4.61822, 5.31590, 3.66350, 0.28917, 4.58050, 5.26900, 3.70840, 0.28458, 3.95223, 4.81000, 2.79172, 0.34402,126,4,121,5,83,83,83, 2.25, 2.25, 2.15,1010,1010,1009, 3.19908, 4.07940, 2.47465, 0.28886,42,42,42,136,137,135,83,83,83,83,83,83
2013-03-02,06:40:00,600, 4.34741, 5.27000, 3.06680, 0.39933, 4.31887, 5.17720, 3.01990, 0.39474, 3.76875, 4.67239, 2.83759, 0.38989,129,5,125,5,83,83,83, 2.25, 2.35, 2.25,1010,1010,1009, 3.34580, 4.30865, 2.33710, 0.40807,42,42,42,138,140,137,83,83,83,83,83,83
2013-03-02,06:50:00,600, 4.32446, 5.31590, 3.15860, 0.39015, 4.30051, 5.31490, 3.20350, 0.36261, 4.03021, 5.03935, 2.88346, 0.38989,130,5,124,6,83,83,82, 2.45, 2.55, 2.35,1010,1010,1009, 3.79513, 4.72130, 2.93315, 0.32554,43,43,42,139,140,139,83,83,83,83,83,83
2013-03-02,07:00:00,600, 3.81038, 4.76510, 2.83730, 0.37179, 3.81397, 4.67230, 2.79040, 0.35802, 3.59444, 4.53478, 2.56237, 0.35320,130,5,127,6,82,83,82, 2.55, 2.65, 2.55,1010,1010,1009, 3.56130, 4.40035, 2.65805, 0.31178,43,43,43,139,140,139,83,83,83,83,83,83
2013-03-02,07:10:00,600, 3.24122, 4.12250, 2.19470, 0.44064, 3.22645, 4.16740, 2.19370, 0.45441, 3.17244, 4.30543, 2.10367, 0.44035,127,7,131,6,81,82,80, 2.85, 2.95, 2.65,1009,1010,1009, 3.13031, 4.21695, 2.15370, 0.37597,43,43,43,139,140,138,83,83,83,83,83,83
2013-03-02,07:20:00,600, 2.58944, 3.52580, 1.78160, 0.32589, 2.60221, 3.57070, 1.82650, 0.31212, 2.62659, 3.47977, 1.73671, 0.34402,130,8,132,8,80,80,79, 3.05, 3.15, 2.95,1009,1010,1009, 2.66722, 3.62090, 1.87860, 0.32095,43,44,43,138,139,138,83,83,83,83,83,83
2013-03-02,07:30:00,600, 2.33240, 3.25040, 1.32260, 0.34884, 2.35435, 3.24940, 1.27570, 0.36720, 2.31467, 3.11281, 1.59910, 0.30733,124,9,126,11,78,80,78, 3.25, 3.35, 3.15,1009,1010,1009, 2.26833, 3.34580, 1.23670, 0.34846,44,44,44,138,139,138,83,83,83,83,83,83
2013-03-02,07:40:00,600, 2.10290, 2.69960, 1.18490, 0.27540, 2.10649, 2.69860, 1.45930, 0.27540, 2.10367, 2.69998, 1.32388, 0.24311,109,9,117,14,77,78,75, 3.35, 3.45, 3.25,1009,1010,1009, 2.00240, 2.88730, 1.05330, 0.32554,44,44,44,138,139,138,83,83,83,83,83,83
2013-03-02,07:50:00,600, 2.59403, 3.20450, 1.78160, 0.28458, 2.60680, 3.20350, 1.78060, 0.27081, 2.58531, 3.52564, 1.73671, 0.33026,110,9,117,6,75,76,74, 3.45, 3.45, 3.45,1009,1010,1009, 2.61220, 3.48335, 1.64935, 0.38056,44,44,44,138,138,138,83,83,83,83,83,83
2013-03-02,08:00:00,600, 2.57108, 3.57170, 1.50620, 0.36720, 2.58385, 3.75430, 1.64290, 0.34884, 2.58531, 3.20455, 1.73671, 0.27063,117,7,123,7,75,75,74, 3.45, 3.45, 3.45,1010,1010,1009, 2.61220, 3.52920, 1.92445, 0.27969,45,45,44,138,138,138,83,83,83,83,83,83
2013-03-02,08:10:00,600, 2.92451, 3.75530, 2.33240, 0.23868, 2.94646, 3.61660, 2.42320, 0.24327, 2.98437, 3.98434, 2.37889, 0.26605,115,6,121,6,76,76,75, 3.35, 3.45, 3.35,1010,1010,1009, 2.92398, 3.71260, 2.24540, 0.31637,45,45,45,138,139,134,83,83,83,83,83,83
2013-03-02,08:20:00,600, 2.80058, 3.34220, 2.19470, 0.20655, 2.79958, 3.29530, 2.23960, 0.22491, 2.75961, 3.43390, 2.19541, 0.22476,115,6,121,7,75,76,75, 3.35, 3.35, 3.25,1010,1010,1009, 2.70849, 3.25410, 2.06200, 0.23842,45,45,45,138,139,137,83,83,83,83,83,83
