"date","time","period","s1a","s1x","s1i","s1s","s2a","s2x","s2i","s2s","s3a","s3x","s3i","s3s","d1a","d1s","d2a","d2s","h1a","h1x","h1i","t1a","t1x","t1i","b1a","b1x","b1i","p1a","p1x","p1i","p1s","tia","tix","tii","vxa","vxx","vxi","bla","blx","bli","bra","brx","bri"
2013-03-08,00:10:00,600,10.14458,11.60420, 8.06990, 0.59670,10.01965,11.55730, 7.97710, 0.59211, 8.83280,10.22266, 7.42459, 0.50916,33,4,24,4,70,71,69, 7.05, 7.15, 6.95,1010,1011,1010, 7.05507, 8.38930, 5.68415, 0.38056,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,00:20:00,600,10.28228,11.60420, 8.34530, 0.57375,10.15276,11.64910, 8.20660, 0.56457, 8.84656,10.45201, 7.19524, 0.57796,37,3,29,4,71,72,71, 7.05, 7.15, 6.95,1010,1011,1010, 7.14218, 8.38930, 6.18850, 0.38973,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,00:30:00,600, 9.98852,11.23700, 8.34530, 0.46818, 9.84982,11.23600, 8.16070, 0.47736, 8.58510,10.13092, 6.69067, 0.55503,37,3,30,4,71,73,71, 7.05, 7.15, 6.85,1010,1010,1010, 6.86708, 8.34345, 5.40905, 0.46309,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,00:40:00,600, 9.44231,10.59440, 7.74860, 0.53703, 9.33115,10.82290, 7.88530, 0.55539, 7.96586, 9.90157, 6.59893, 0.61925,36,3,30,5,74,74,73, 6.85, 6.95, 6.75,1010,1010,1010, 6.00052, 7.88495, 4.81300, 0.49977,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,00:50:00,600, 8.85020,10.18130, 7.06010, 0.49572, 8.69773, 9.95080, 6.50830, 0.51408, 7.32368, 8.93830, 5.58979, 0.54127,34,4,29,5,75,76,74, 6.65, 6.85, 6.55,1010,1010,1010, 5.60621, 7.15135, 4.30865, 0.49977,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,01:00:00,600, 8.49218, 9.53870, 6.60110, 0.49113, 8.32135, 9.49180, 6.55420, 0.50031, 6.92002, 8.38786, 5.63566, 0.52292,34,4,25,5,76,76,75, 6.65, 6.65, 6.55,1010,1010,1009, 5.45949, 7.24305, 4.35450, 0.52728,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,01:10:00,600, 8.78594, 9.76820, 7.42730, 0.40392, 8.64265, 9.67540, 7.33450, 0.39474, 7.34202, 8.61721, 5.77327, 0.49998,37,3,27,4,75,76,75, 6.65, 6.75, 6.65,1010,1010,1009, 5.71166, 7.10550, 4.53790, 0.45392,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,01:20:00,600, 9.73607,10.82390, 7.65680, 0.57834, 9.59278,10.77700, 7.51810, 0.60588, 8.14475, 9.67222, 6.36958, 0.61007,40,3,31,5,75,76,74, 6.85, 7.15, 6.75,1010,1010,1009, 6.28479, 7.79325, 4.85885, 0.55937,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,01:30:00,600, 9.25412,10.68620, 8.11580, 0.48654, 9.16132,10.40980, 8.16070, 0.47277, 8.24108, 9.44287, 7.19524, 0.48622,44,2,32,4,73,74,73, 7.25, 7.35, 7.05,1010,1010,1009, 6.48653, 8.06835, 4.99640, 0.45392,45,45,45,126,126,126,83,83,83,83,83,83
2013-03-08,01:40:00,600, 9.34592, 9.90590, 8.62070, 0.20655, 9.22099, 9.85900, 8.57380, 0.21114, 7.85118, 8.75482, 6.87415, 0.28439,44,1,29,4,74,75,74, 7.15, 7.25, 7.05,1010,1010,1009, 5.96842, 7.10550, 4.90470, 0.34388,45,45,45,126,126,126,83,83,83,83,83,83
